GCA.003470645.1.ASM347064v1	GCA.015831805.1.ASM1583180v1	GCA.003474465.1.ASM347446v1	GCA.003612665.1.ASM361266v1	GCA.003439865.1.ASM343986v1	GCA.013361135.1.ASM1336113v1	GCA.005844895.1.ASM584489v1	GCA.001405735.1.14207.7.66	GCA.003458305.1.ASM345830v1	GCA.003472085.1.ASM347208v1	GCA.003472925.1.ASM347292v1	GCA.003468975.1.ASM346897v1	GCA.005844955.1.ASM584495v1	GCA.005844935.1.ASM584493v1	GCA.015557725.1.ASM1555772v1	GCA.000699665.1.ASM69966v1	GCA.015550085.1.ASM1555008v1	GCA.015548845.1.ASM1554884v1	GCA.015554355.1.ASM1555435v1	GCA.015555955.1.ASM1555595v1	GCA.015552185.1.ASM1555218v1	GCA.015670595.1.ASM1567059v1	GCA.015558885.1.ASM1555888v1	GCA.003463955.1.ASM346395v1	GCA.000178275.1.ASM17827v1	P18.D7	GCA.015561385.1.ASM1556138v1	GCA.015549745.1.ASM1554974v1	GCA.001578575.1.ASM157857v1	GCA.003465985.1.ASM346598v1	GCA.015550165.1.ASM1555016v1	GCA.015552295.1.ASM1555229v1	GCA.015554165.1.ASM1555416v1	GCA.003466305.1.ASM346630v1	GCA.015548325.1.ASM1554832v1	GCA.003465275.1.ASM346527v1	GCA.009734165.1.ASM973416v1	GCA.004167785.1.ASM416778v1	GCA.015547705.1.ASM1554770v1	GCA.015558455.1.ASM1555845v1	GCA.003459425.1.ASM345942v1	GCA.015554685.1.ASM1555468v1	GCA.015550025.1.ASM1555002v1	GCA.015556825.1.ASM1555682v1	GCA.015557585.1.ASM1555758v1	GCA.015555775.1.ASM1555577v1	GCA.900095495.1.B.ovatus.V975	GCA.015548155.1.ASM1554815v1	GCA.015552205.1.ASM1555220v1	GCA.003363235.1.ASM336323v1
GCA.003472925.1.ASM347292v1	0.0267624644984361	0.0307995453340314	0.0275719832218884	0.0279198419103078	0.0292756817166539	0.0165571504726938	0.00760856316663606	0.00326650039093256	0.00292601373537481	0.00307538139400331	0	0.0003331487337843	0.000998018167240981	0.000591514171218906	0.0406091379519714	0.0425319937609669	0.0727005227238331	0.0710329518326162	0.0613126907272468	0.0658738464832584	0.0654805788542903	0.0739494130403396	0.0705016446785115	0.0717241570539072	0.0699773522465741	0.0658988065044663	0.0734469900257072	0.0738689280502781	0.0738624046380504	0.0464746995929238	0.0861292329925835	0.0472757338512297	0.0467282174079342	0.0476533915657298	0.0482136442869121	0.0512258639446821	0.0534578023198184	0.0486289965663375	0.0427761064895186	0.0496536625538114	0.0483936249588093	0.0540830538988162	0.0503207137221804	0.0516584482997267	0.0524265933555622	0.0535453148123774	0.0528356968413289	0.052106209409372	0.0520126532307517	0.0218221223475417
GCA.003468975.1.ASM346897v1	0.0268190051586807	0.030856085994276	0.027628523882133	0.0279763825705524	0.0293322223768985	0.0166136911329384	0.00766510382688065	0.00332304105117715	0.0029825543956194	0.0031319220542479	0.0003331487337843	0	0.000944073707615466	0.000529532059095291	0.040665678612216	0.0425885344212115	0.0727570633840777	0.0710894924928608	0.0613692313874914	0.065930387143503	0.0655371195145349	0.0740059537005842	0.070558185338756	0.0717806977141517	0.0700338929068187	0.0659553471647109	0.0735035306859518	0.0739254687105227	0.0739189452982949	0.0465312402531683	0.0861857736528281	0.0473322745114743	0.0467847580681788	0.0477099322259744	0.0482701849471567	0.0512824046049267	0.053514342980063	0.0486855372265821	0.0428326471497632	0.0497102032140559	0.0484501656190539	0.0541395945590608	0.050377254382425	0.0517149889599713	0.0524831340158068	0.053601855472622	0.0528922375015735	0.0521627500696166	0.0520691938909963	0.0218786630077863
GCA.005844955.1.ASM584495v1	0.0274838745921374	0.0315209554277327	0.0282933933155897	0.0286412520040091	0.0299970918103552	0.0172785605663951	0.00832997326033733	0.00398791048463383	0.00364742382907608	0.00379679148770458	0.000998018167240981	0.000944073707615466	0	0.00120243914505007	0.0413305480456727	0.0432534038546681	0.0734219328175344	0.0717543619263174	0.0620341008209481	0.0665952565769597	0.0662019889479916	0.0746708231340409	0.0712230547722127	0.0724455671476084	0.0706987623402754	0.0666202165981676	0.0741684001194085	0.0745903381439794	0.0745838147317516	0.047196109686625	0.0868506430862848	0.047997143944931	0.0474496275016355	0.0483748016594311	0.0489350543806134	0.0519472740383834	0.0541792124135197	0.0493504066600387	0.0434975165832199	0.0503750726475126	0.0491150350525106	0.0548044639925175	0.0510421238158817	0.052379858393428	0.0531480034492635	0.0542667249060787	0.0535571069350301	0.0528276195030733	0.052734063324453	0.0225435324412429
GCA.005844935.1.ASM584493v1	0.0270773705961153	0.0311144514317106	0.0278868893195676	0.028234748007987	0.0295905878143331	0.016872056570373	0.00792346926431525	0.00358140648861175	0.00324091983305401	0.00339028749168251	0.000591514171218906	0.000529532059095291	0.00120243914505007	0	0.0409240440496506	0.0428468998586461	0.0730154288215123	0.0713478579302954	0.061627596824926	0.0661887525809376	0.0657954849519695	0.0742643191380188	0.0708165507761907	0.0720390631515864	0.0702922583442533	0.0662137126021455	0.0737618961233864	0.0741838341479573	0.0741773107357296	0.046789605690603	0.0864441390902627	0.0475906399489089	0.0470431235056134	0.047968297663409	0.0485285503845913	0.0515407700423613	0.0537727084174976	0.0489439026640167	0.0430910125871978	0.0499685686514905	0.0487085310564885	0.0543979599964954	0.0506356198198596	0.0519733543974059	0.0527414994532414	0.0538602209100566	0.0531506029390081	0.0524211155070512	0.0523275593284309	0.0221370284452209
GCA.015557725.1.ASM1555772v1	0.0400033070022743	0.0440403878378696	0.0408128257257266	0.041160684414146	0.0425165242204922	0.0400341927500397	0.0403365722456544	0.0415631283735277	0.0412226417179699	0.0413720093765984	0.0406091379519714	0.040665678612216	0.0413305480456727	0.0409240440496506	0	0.00346717750792358	0.0637621823097084	0.0620946114184915	0.0523743503131221	0.0569355060691337	0.0565422384401656	0.0650110726262149	0.0615633042643868	0.0627858166397825	0.0610390118324495	0.0569604660903417	0.0645086496115825	0.0649305876361534	0.0649240642239257	0.0375363591787991	0.0771908925784588	0.038337393437105	0.0377898769938096	0.0387150511516051	0.0392753038727874	0.0422875235305574	0.0445194619056937	0.0396906561522128	0.0430609455089275	0.0499385015732203	0.0486784639782182	0.0543678929182251	0.0506055527415893	0.0519432873191356	0.0527114323749711	0.0538301538317863	0.0531205358607378	0.052391048428781	0.0522974922501606	0.0350629648513799
GCA.000699665.1.ASM69966v1	0.0419261628112698	0.045963243646865	0.0427356815347221	0.0430835402231415	0.0444393800294876	0.0419570485590351	0.0422594280546498	0.0434859841825231	0.0431454975269654	0.0432948651855939	0.0425319937609669	0.0425885344212115	0.0432534038546681	0.0428468998586461	0.00346717750792358	0	0.0656850381187039	0.0640174672274869	0.0542972061221176	0.0588583618781292	0.0584650942491611	0.0669339284352104	0.0634861600733822	0.0647086724487779	0.0629618676414449	0.0588833218993371	0.066431505420578	0.0668534434451489	0.0668469200329211	0.0394592149877945	0.0791137483874543	0.0402602492461005	0.039712732802805	0.0406379069606006	0.0411981596817828	0.0442103793395529	0.0464423177146892	0.0416135119612082	0.044983801317923	0.0518613573822157	0.0506013197872137	0.0562907487272205	0.0525284085505847	0.053866143128131	0.0546342881839666	0.0557530096407817	0.0550433916697332	0.0543139042377764	0.054220348059156	0.0369858206603754
GCA.015550085.1.ASM1555008v1	0.072094691774136	0.0761317726097313	0.0729042104975883	0.0732520691860077	0.0746079089923539	0.0721255775219014	0.0724279570175161	0.0736545131453893	0.0733140264898316	0.0734633941484601	0.0727005227238331	0.0727570633840777	0.0734219328175344	0.0730154288215123	0.0637621823097084	0.0656850381187039	0	0.0405900518924456	0.0465304406371858	0.0510915963931974	0.0506983287642293	0.0591671629502786	0.0557193945884504	0.0569419069638461	0.0551951021565131	0.0511165564144053	0.0586647399356462	0.0590866779602171	0.0590801545479894	0.0571076043273446	0.104498449864665	0.0656449507233111	0.0650974342800157	0.0660226084378113	0.0665828611589935	0.0695950808167635	0.0718270191918998	0.0669982134384189	0.0751523302807892	0.0820298863450819	0.0807698487500799	0.0864592776900868	0.082696937513451	0.0840346720909973	0.0848028171468328	0.085921538603648	0.0852119206325995	0.0844824332006426	0.0843888770220223	0.0671543496232416
GCA.015548845.1.ASM1554884v1	0.0704271208829191	0.0744642017185143	0.0712366396063714	0.0715844982947908	0.0729403381011369	0.0704580066306844	0.0707603861262991	0.0719869422541724	0.0716464555986147	0.0717958232572432	0.0710329518326162	0.0710894924928608	0.0717543619263174	0.0713478579302954	0.0620946114184915	0.0640174672274869	0.0405900518924456	0	0.0448628697459689	0.0494240255019805	0.0490307578730124	0.0574995920590617	0.0540518236972335	0.0552743360726292	0.0535275312652962	0.0494489855231884	0.0569971690444292	0.0574191070690002	0.0574125836567724	0.0554400334361276	0.102830878973448	0.0639773798320942	0.0634298633887987	0.0643550375465943	0.0649152902677766	0.0679275099255466	0.0701594483006829	0.065330642547202	0.0734847593895723	0.080362315453865	0.079102277858863	0.0847917067988699	0.081029366622234	0.0823671011997803	0.0831352462556159	0.084253967712431	0.0835443497413825	0.0828148623094257	0.0827213061308053	0.0654867787320246
GCA.015554355.1.ASM1555435v1	0.0607068597775497	0.064743940613145	0.061516378501002	0.0618642371894214	0.0632200769957676	0.0607377455253151	0.0610401250209298	0.0622666811488031	0.0619261944932453	0.0620755621518738	0.0613126907272468	0.0613692313874914	0.0620341008209481	0.061627596824926	0.0523743503131221	0.0542972061221176	0.0465304406371858	0.0448628697459689	0	0.0149625460587843	0.0145692784298162	0.0415134009051686	0.0380656325433404	0.0392881449187361	0.0375413401114031	0.0334627943692953	0.0410109778905362	0.0414329159151071	0.0414263925028793	0.0457197723307583	0.0931106178680787	0.0542571187267249	0.0537096022834294	0.054634776441225	0.0551950291624072	0.0582072488201773	0.0604391871953136	0.0556103814418326	0.0637644982842029	0.0706420543484957	0.0693820167534936	0.0750714456935005	0.0713091055168647	0.072646840094411	0.0734149851502465	0.0745337066070617	0.0738240886360132	0.0730946012040564	0.073001045025436	0.0557665176266553
GCA.015555955.1.ASM1555595v1	0.0652680155335613	0.0693050963691566	0.0660775342570137	0.066425392945433	0.0677812327517792	0.0652989012813267	0.0656012807769414	0.0668278369048147	0.0664873502492569	0.0666367179078854	0.0658738464832584	0.065930387143503	0.0665952565769597	0.0661887525809376	0.0569355060691337	0.0588583618781292	0.0510915963931974	0.0494240255019805	0.0149625460587843	0	0.000864928631730875	0.0460745566611802	0.042626788299352	0.0438493006747477	0.0421024958674147	0.0380239501253069	0.0455721336465478	0.0459940716711187	0.045987548258891	0.0502809280867699	0.0976717736240903	0.0588182744827365	0.058270758039441	0.0591959321972366	0.0597561849184188	0.0627684045761888	0.0650003429513252	0.0601715371978442	0.0683256540402145	0.0752032101045073	0.0739431725095052	0.0796326014495121	0.0758702612728763	0.0772079958504226	0.0779761409062582	0.0790948623630733	0.0783852443920248	0.077655756960068	0.0775622007814476	0.0603276733826669
