GCA.009101645.1.ASM910164v1	GCA.009102325.1.ASM910232v1	GCA.009101685.1.ASM910168v1	GCA.009101725.1.ASM910172v1	GCA.009102305.1.ASM910230v1	GCA.009101505.1.ASM910150v1	GCA.009101705.1.ASM910170v1	GCA.009102145.1.ASM910214v1	GCA.009102575.1.ASM910257v1	GCA.009101535.1.ASM910153v1	GCA.015547545.1.ASM1554754v1	GCA.009102785.1.ASM910278v1	GCA.009102805.1.ASM910280v1	GCA.009101965.1.ASM910196v1	GCA.009102045.1.ASM910204v1	GCA.902374095.1.MGYG.HGUT.01345	GCA.000178215.1.ASM17821v1	GCA.009093695.1.ASM909369v1	GCA.900114865.1.IMG.taxon.2654588180.annotated.assembly	GCA.900107825.1.IMG.taxon.2623620516.annotated.assembly	GCA.015556195.1.ASM1555619v1	GCA.008710235.1.ASM871023v1	GCA.003458755.1.ASM345875v1	P20.6B	P19.A7	GCA.009102705.1.ASM910270v1	GCA.003437545.1.ASM343754v1	GCA.015553655.1.ASM1555365v1	GCA.003474645.1.ASM347464v1	GCA.003469745.1.ASM346974v1	GCA.009093775.1.ASM909377v1	GCA.003436085.1.ASM343608v1	GCA.000273315.1.Bact.xyla.CL03T12C04.V1	P21.6G	P13.H9	P14.B8	GCA.003468875.1.ASM346887v1	GCA.002161135.1.ASM216113v1	GCA.002161115.1.ASM216111v1	GCA.009102085.1.ASM910208v1	GCA.003464445.1.ASM346444v1	GCA.003474245.1.ASM347424v1	GCA.016864215.1.ASM1686421v1	GCA.015551805.1.ASM1555180v1	GCA.003473975.1.ASM347397v1	GCA.000210075.1.ASM21007v1	GCA.015559535.1.ASM1555953v1	GCA.015668785.1.ASM1566878v1	GCA.009102375.1.ASM910237v1	GCA.009102285.1.ASM910228v1
GCA.015547545.1.ASM1554754v1	0.0109157036236514	0.0108297052314367	0.0108479937235851	0.0108395285550892	0.0108369791584968	0.0108690643864039	0.010860450393498	0.010867785167575	0.0108519669225757	0.00334427734878854	0	0.0201941970943649	0.0200420849068878	0.0185766543604665	0.018387885172225	0.0512261689738904	0.0512808416856187	0.0539642418348059	0.0653310898119741	0.0689203430313008	0.0654094441690182	0.0624972670324605	0.0575338033945721	0.0581978788917714	0.0582292161430694	0.0576531469894199	0.0639122646008503	0.0640386590077529	0.0691711399243448	0.06936695186824	0.0679418377637687	0.0682537025890153	0.070191341728069	0.07087378330618	0.072846746215275	0.0728585981423808	0.0732275786738963	0.0716508799019461	0.0728680595580723	0.0655821857724081	0.062634322235658	0.05932289851915	0.0419165582505271	0.0382782338583204	0.036289153066521	0.0346031313866316	0.0311840311784739	0.0182325643703154	0.0108523578827467	0.0108443980631616
GCA.009102785.1.ASM910278v1	0.0232696045670449	0.0231836061748301	0.0232018946669786	0.0231934294984827	0.0231908801018902	0.0232229653297974	0.0232143513368914	0.0232216861109685	0.0232058678659691	0.0213185661201298	0.0201941970943649	0	0.000156112189477165	0.00951865699467032	0.0093298878064288	0.0576588946029802	0.0577135673147086	0.0603969674638957	0.0717638154410639	0.0753530686603907	0.071842169798108	0.0689299926615504	0.063966529023662	0.0646306045208613	0.0646619417721593	0.0640858726185097	0.0703449902299402	0.0704713846368428	0.0756038655534346	0.0757996774973299	0.0743745633928586	0.0746864282181051	0.0766240673571589	0.0773065089352698	0.0792794718443649	0.0792913237714707	0.0796603043029862	0.078083605531036	0.0793007851871622	0.072014911401498	0.0690670478647478	0.0657556241482398	0.0483492838796169	0.0447109594874103	0.0427218786956108	0.0410358570157215	0.0376167568075638	0.0246652899994053	0.0232062588261401	0.0231982990065551
GCA.009102805.1.ASM910280v1	0.0231174923795678	0.0230314939873531	0.0230497824795015	0.0230413173110056	0.0230387679144132	0.0230708531423203	0.0230622391494144	0.0230695739234914	0.0230537556784921	0.0211664539326527	0.0200420849068878	0.000156112189477165	0	0.00936654480719327	0.00917777561895175	0.0575067824155032	0.0575614551272316	0.0602448552764187	0.0716117032535869	0.0752009564729136	0.071690057610631	0.0687778804740733	0.0638144168361849	0.0644784923333843	0.0645098295846823	0.0639337604310327	0.0701928780424632	0.0703192724493657	0.0754517533659576	0.0756475653098528	0.0742224512053815	0.0745343160306281	0.0764719551696818	0.0771543967477928	0.0791273596568878	0.0791392115839936	0.0795081921155091	0.0779314933435589	0.0791486729996851	0.0718627992140209	0.0689149356772708	0.0656035119607628	0.0481971716921399	0.0445588472999332	0.0425697665081338	0.0408837448282445	0.0374646446200867	0.0245131778119282	0.023054146638663	0.023046186819078
GCA.009101965.1.ASM910196v1	0.0216520618331465	0.0215660634409318	0.0215843519330802	0.0215758867645843	0.0215733373679919	0.021605422595899	0.0215968086029931	0.0216041433770702	0.0215883251320708	0.0197010233862314	0.0185766543604665	0.00951865699467032	0.00936654480719327	0	0.000197316256723848	0.0560413518690819	0.0560960245808103	0.0587794247299974	0.0701462727071656	0.0737355259264923	0.0702246270642097	0.0673124499276521	0.0623489862897637	0.063013061786963	0.063044399038261	0.0624683298846114	0.0687274474960419	0.0688538419029444	0.0739863228195363	0.0741821347634316	0.0727570206589603	0.0730688854842068	0.0750065246232606	0.0756889662013715	0.0776619291104666	0.0776737810375723	0.0780427615690878	0.0764660627971377	0.0776832424532639	0.0703973686675997	0.0674495051308495	0.0641380814143415	0.0467317411457186	0.0430934167535119	0.0411043359617125	0.0394183142818232	0.0359992140736655	0.0230477472655069	0.0215887160922418	0.0215807562726567
GCA.009102045.1.ASM910204v1	0.021463292644905	0.0213772942526903	0.0213955827448387	0.0213871175763428	0.0213845681797504	0.0214166534076575	0.0214080394147516	0.0214153741888286	0.0213995559438293	0.0195122541979899	0.018387885172225	0.0093298878064288	0.00917777561895175	0.000197316256723848	0	0.0558525826808404	0.0559072553925688	0.0585906555417559	0.0699575035189241	0.0735467567382508	0.0700358578759682	0.0671236807394106	0.0621602171015221	0.0628242925987215	0.0628556298500195	0.0622795606963699	0.0685386783078004	0.0686650727147029	0.0737975536312948	0.0739933655751901	0.0725682514707187	0.0728801162959653	0.0748177554350191	0.07550019701313	0.0774731599222251	0.0774850118493308	0.0778539923808463	0.0762772936088962	0.0774944732650224	0.0702085994793582	0.067260735942608	0.0639493122261	0.0465429719574771	0.0429046475652704	0.040915566773471	0.0392295450935817	0.035810444885424	0.0228589780772654	0.0213999469040003	0.0213919870844152
GCA.902374095.1.MGYG.HGUT.01345	0.0543015764465704	0.0542155780543556	0.0542338665465041	0.0542254013780082	0.0542228519814157	0.0542549372093229	0.0542463232164169	0.054253657990494	0.0542378397454946	0.0523505379996553	0.0512261689738904	0.0576588946029802	0.0575067824155032	0.0560413518690819	0.0558525826808404	0	0.000703510804718927	0.0464945369733026	0.0578613849504709	0.0614506381697976	0.057939739307515	0.0550275621709573	0.0500640985330689	0.0507281740302682	0.0507595112815662	0.0501834421279167	0.0564425597393471	0.0565689541462497	0.0617014350628416	0.0618972470067368	0.0604721329022655	0.0607839977275121	0.0627216368665658	0.0634040784446768	0.0653770413537718	0.0653888932808776	0.0657578738123931	0.0641811750404429	0.0653983546965691	0.0581124809109049	0.0551646173741547	0.0518531936576468	0.0500851276499188	0.0464468032577121	0.0444577224659126	0.0427717007860233	0.047777885510729	0.0498164097189452	0.0542382307056656	0.0542302708860806
GCA.000178215.1.ASM17821v1	0.0543562491582987	0.054270250766084	0.0542885392582324	0.0542800740897366	0.0542775246931441	0.0543096099210512	0.0543009959281453	0.0543083307022224	0.054292512457223	0.0524052107113836	0.0512808416856187	0.0577135673147086	0.0575614551272316	0.0560960245808103	0.0559072553925688	0.000703510804718927	0	0.046549209685031	0.0579160576621992	0.061505310881526	0.0579944120192433	0.0550822348826857	0.0501187712447973	0.0507828467419966	0.0508141839932946	0.050238114839645	0.0564972324510755	0.0566236268579781	0.0617561077745699	0.0619519197184652	0.0605268056139939	0.0608386704392404	0.0627763095782942	0.0634587511564052	0.0654317140655002	0.065443565992606	0.0658125465241215	0.0642358477521713	0.0654530274082975	0.0581671536226333	0.0552192900858831	0.0519078663693752	0.0501398003616471	0.0465014759694404	0.044512395177641	0.0428263734977517	0.0478325582224574	0.0498710824306736	0.054292903417394	0.054284943597809
GCA.009093695.1.ASM909369v1	0.0570396493074858	0.0569536509152711	0.0569719394074195	0.0569634742389237	0.0569609248423312	0.0569930100702383	0.0569843960773324	0.0569917308514095	0.0569759126064101	0.0550886108605708	0.0539642418348059	0.0603969674638957	0.0602448552764187	0.0587794247299974	0.0585906555417559	0.0464945369733026	0.046549209685031	0	0.0462281367785209	0.0498173899978476	0.046306491135565	0.0433943139990074	0.04582269209902	0.0464867675962194	0.0465181048475174	0.0459420356938678	0.0522011533052983	0.0523275477122008	0.0574600286287927	0.0576558405726879	0.0562307264682166	0.0565425912934632	0.058480230432517	0.0591626720106279	0.061135634919723	0.0611474868468287	0.0615164673783442	0.0599397686063941	0.0611569482625202	0.053871074476856	0.0509232109401059	0.0476117872235979	0.0528232005108342	0.0491848761186275	0.0471957953268281	0.0455097736469388	0.0505159583716445	0.0525544825798607	0.0569763035665811	0.0569683437469961
GCA.900114865.1.IMG.taxon.2654588180.annotated.assembly	0.0684064972846541	0.0683204988924394	0.0683387873845878	0.0683303222160919	0.0683277728194994	0.0683598580474066	0.0683512440545006	0.0683585788285777	0.0683427605835783	0.066455458837739	0.0653310898119741	0.0717638154410639	0.0716117032535869	0.0701462727071656	0.0699575035189241	0.0578613849504709	0.0579160576621992	0.0462281367785209	0	0.0160035115052721	0.0382564829496237	0.0442208190008743	0.0571895400761882	0.0578536155733876	0.0578849528246856	0.057308883671036	0.0635680012824665	0.063694395689369	0.0688268766059609	0.0690226885498562	0.0675975744453848	0.0679094392706314	0.0698470784096852	0.0705295199877961	0.0725024828968912	0.072514334823997	0.0728833153555125	0.0713066165835623	0.0725237962396885	0.0652379224540243	0.0622900589172741	0.0589786352007661	0.0641900484880025	0.0605517240957958	0.0585626433039963	0.056876621624107	0.0618828063488128	0.0639213305570289	0.0683431515437493	0.0683351917241643
GCA.900107825.1.IMG.taxon.2623620516.annotated.assembly	0.0719957505039808	0.0719097521117661	0.0719280406039145	0.0719195754354186	0.0719170260388261	0.0719491112667333	0.0719404972738273	0.0719478320479044	0.071932013802905	0.0700447120570657	0.0689203430313008	0.0753530686603907	0.0752009564729136	0.0737355259264923	0.0735467567382508	0.0614506381697976	0.061505310881526	0.0498173899978476	0.0160035115052721	0	0.0418457361689505	0.047810072220201	0.060778793295515	0.0614428687927143	0.0614742060440123	0.0608981368903627	0.0671572545017932	0.0672836489086958	0.0724161298252877	0.0726119417691829	0.0711868276647116	0.0714986924899581	0.0734363316290119	0.0741187732071228	0.0760917361162179	0.0761035880433237	0.0764725685748392	0.074895869802889	0.0761130494590152	0.068827175673351	0.0658793121366008	0.0625678884200929	0.0677793017073292	0.0641409773151225	0.0621518965233231	0.0604658748434337	0.0654720595681395	0.0675105837763557	0.071932404763076	0.071924444943491
