GCA.015556465.1.ASM1555646v1	GCA.015547465.1.ASM1554746v1	GCA.007556425.1.ASM755642v1	GCA.001578565.1.ASM157856v1	GCA.003474005.1.ASM347400v1	GCA.001055755.1.ASM105575v1	GCA.008329455.1.ASM832945v1	GCA.015547765.1.ASM1554776v1	GCA.015831845.1.ASM1583184v1	GCA.003458585.1.ASM345858v1	GCA.001405255.1.13414.6.57	GCA.001049535.1.3731	GCA.003464695.1.ASM346469v1	GCA.003463855.1.ASM346385v1	GCA.003474715.1.ASM347471v1	GCA.003472055.1.ASM347205v1	GCA.000403155.2.Bact.thet.dnLKV9.V1	GCA.015670455.1.ASM1567045v1	GCA.012151035.1.ASM1215103v1	GCA.015548265.1.ASM1554826v1	GCA.015554205.1.ASM1555420v1	GCA.004349635.1.ASM434963v1	GCA.015556535.1.ASM1555653v1	GCA.015560505.1.ASM1556050v1	GCA.001405895.1.14207.7.22	GCA.015546775.1.ASM1554677v1	GCA.004167525.1.ASM416752v1	GCA.003466025.1.ASM346602v1	GCA.001816245.2.ASM181624v2	GCA.015554035.1.ASM1555403v1	GCA.001314975.1.ASM131497v1	GCA.000159875.2.Bact.sp.1.1.6.V2	GCA.009025475.1.ASM902547v1	GCA.015553025.1.ASM1555302v1	GCA.014131755.1.ASM1413175v1	GCA.003463095.1.ASM346309v1	GCA.015670025.1.ASM1567002v1	GCA.015556665.1.ASM1555666v1	GCA.015551275.1.ASM1555127v1	GCA.015668615.1.ASM1566861v1	GCA.015670015.1.ASM1567001v1	GCA.003472675.1.ASM347267v1	GCA.902364285.1.MGYG.HGUT.00196	GCA.003469365.1.ASM346936v1	GCA.015548485.1.ASM1554848v1	GCA.004349615.1.ASM434961v1	GCA.001406075.1.14207.7.68	GCA.015548225.1.ASM1554822v1	GCA.015551985.1.ASM1555198v1	GCA.003439845.1.ASM343984v1
GCA.001405255.1.13414.6.57	0.0206469618783938	0.0207895773700847	0.0214161615310324	0.0151329775752528	0.0101828973139171	0.00678395311655424	0.00637562314946368	0.00475959788381499	0.00293141090652982	0.00295052738842298	0	0.0156527558770203	0.0178991439676145	0.0193156920808213	0.0199470834946506	0.0168024731102286	0.0205543111724832	0.0223240507874949	0.0269183116835305	0.0253582485507702	0.026621220944166	0.0270598255251927	0.0271595819089452	0.0220253762228738	0.0218717953350437	0.0196482709941198	0.0233502552974289	0.0286886337585394	0.0282992237181041	0.0289144341083613	0.0305353111319379	0.0323741292017794	0.0322638274947614	0.032455647705943	0.0325933006573339	0.0306437074672273	0.0304980951322101	0.0291329288276554	0.0304002964405227	0.0270556023642749	0.0263886574663887	0.0280404976375197	0.0304172592896954	0.0300729882064846	0.0288720642775909	0.0290121729544742	0.0422483284917349	0.0291192746143741	0.0316141176198622	0.0334906334245207
GCA.001049535.1.3731	0.0188960335790586	0.0190386490707495	0.0196652332316972	0.0155318378959179	0.0139309201732037	0.0153844655239247	0.0149761355568342	0.0156524503321526	0.0159204874850141	0.0159396039669073	0.0156527558770203	0	0.0161482156682793	0.017564763781486	0.0181961551953154	0.0150515448108933	0.018803382873148	0.0205731224881597	0.0251673833841953	0.023607320251435	0.0248702926448308	0.0253088972258575	0.02540865360961	0.0202744479235385	0.0201208670357085	0.0178973426947846	0.0215993269980936	0.0269377054592041	0.0265482954187689	0.027163505809026	0.0287843828326026	0.0306232009024441	0.0305128991954261	0.0307047194066078	0.0308423723579987	0.028892779167892	0.0287471668328748	0.0273820005283202	0.0286493681411875	0.0253046740649396	0.0246377291670535	0.0262895693381845	0.0286663309903602	0.0283220599071494	0.0271211359782556	0.027261244655139	0.0404974001923997	0.0273683463150389	0.029863189320527	0.0317397051251855
GCA.003464695.1.ASM346469v1	0.0194932118955367	0.0196358273872276	0.0202624115481753	0.0177782259865121	0.0161773082637978	0.0176308536145189	0.0172225236474284	0.0178988384227468	0.0181668755756083	0.0181859920575015	0.0178991439676145	0.0161482156682793	0	0.0102035501975903	0.0108349416114197	0.0106240958338791	0.0176478617414631	0.0194176013564748	0.0240118622525104	0.0224517991197501	0.0237147715131459	0.0241533760941726	0.0242531324779251	0.0191189267918537	0.0189653459040236	0.0167418215630997	0.0221965053145717	0.0275348837756822	0.027145473735247	0.0277606841255042	0.0293815611490807	0.0312203792189223	0.0311100775119042	0.0313018977230859	0.0314395506744768	0.0294899574843701	0.0293443451493529	0.0279791788447983	0.0292465464576656	0.0259018523814177	0.0252349074835316	0.0268867476546626	0.0292635093068383	0.0289192382236275	0.0277183142947337	0.0278584229716171	0.0410945785088778	0.027965524631517	0.0304603676370051	0.0323368834416636
GCA.003463855.1.ASM346385v1	0.0209097600087435	0.0210523755004343	0.021678959661382	0.0191947740997189	0.0175938563770046	0.0190474017277257	0.0186390717606351	0.0193153865359536	0.0195834236888151	0.0196025401707082	0.0193156920808213	0.017564763781486	0.0102035501975903	0	0.00966408057597197	0.0120406439470858	0.0190644098546699	0.0208341494696816	0.0254284103657172	0.0238683472329569	0.0251313196263527	0.0255699242073794	0.0256696805911319	0.0205354749050604	0.0203818940172304	0.0181583696763065	0.0236130534277785	0.028951431888889	0.0285620218484538	0.0291772322387109	0.0307981092622875	0.032636927332129	0.032526625625111	0.0327184458362926	0.0328560987876836	0.0309065055975769	0.0307608932625597	0.0293957269580051	0.0306630945708724	0.0273184004946245	0.0266514555967384	0.0283032957678693	0.0306800574200451	0.0303357863368343	0.0291348624079405	0.0292749710848238	0.0425111266220846	0.0293820727447237	0.0318769157502119	0.0337534315548703
GCA.003474715.1.ASM347471v1	0.0215411514225729	0.0216837669142637	0.0223103510752114	0.0198261655135483	0.018225247790834	0.0196787931415551	0.0192704631744645	0.019946777949783	0.0202148151026445	0.0202339315845376	0.0199470834946506	0.0181961551953154	0.0108349416114197	0.00966408057597197	0	0.0126720353609152	0.0196958012684992	0.0214655408835109	0.0260598017795466	0.0244997386467863	0.0257627110401821	0.0262013156212087	0.0263010720049613	0.0211668663188898	0.0210132854310598	0.0187897610901358	0.0242444448416079	0.0295828233027184	0.0291934132622832	0.0298086236525403	0.0314295006761169	0.0332683187459584	0.0331580170389404	0.033349837250122	0.0334874902015129	0.0315378970114063	0.0313922846763891	0.0300271183718345	0.0312944859847017	0.0279497919084539	0.0272828470105678	0.0289346871816987	0.0313114488338745	0.0309671777506636	0.0297662538217699	0.0299063624986532	0.043142518035914	0.0300134641585531	0.0325083071640413	0.0343848229686997
GCA.003472055.1.ASM347205v1	0.0183965410381508	0.0185391565298416	0.0191657406907893	0.0166815551291262	0.0150806374064119	0.016534182757133	0.0161258527900425	0.0168021675653609	0.0170702047182224	0.0170893212001155	0.0168024731102286	0.0150515448108933	0.0106240958338791	0.0120406439470858	0.0126720353609152	0	0.0165511908840772	0.0183209304990889	0.0229151913951245	0.0213551282623642	0.02261810065576	0.0230567052367867	0.0231564616205392	0.0180222559344678	0.0178686750466377	0.0156451507057138	0.0210998344571858	0.0264382129182963	0.0260488028778611	0.0266640132681182	0.0282848902916948	0.0301237083615363	0.0300134066545183	0.0302052268656999	0.0303428798170909	0.0283932866269842	0.028247674291967	0.0268825079874124	0.0281498756002797	0.0248051815240318	0.0241382366261457	0.0257900767972766	0.0281668384494524	0.0278225673662416	0.0266216434373478	0.0267617521142312	0.0399979076514919	0.026868853774131	0.0293636967796192	0.0312402125842777
GCA.000403155.2.Bact.thet.dnLKV9.V1	0.0221483791004054	0.0222909945920963	0.022917578753044	0.0204333931913808	0.0188324754686666	0.0202860208193877	0.0198776908522971	0.0205540056276156	0.020822042780477	0.0208411592623702	0.0205543111724832	0.018803382873148	0.0176478617414631	0.0190644098546699	0.0196958012684992	0.0165511908840772	0	0.0144772304427792	0.0190714913388149	0.0175114282060546	0.0187744005994504	0.019213005180477	0.0193127615642296	0.0141785558781581	0.0140249749903281	0.0156331097615751	0.0248516725194404	0.0301900509805509	0.0298006409401157	0.0304158513303729	0.0320367283539494	0.033875546423791	0.033765244716773	0.0339570649279546	0.0340947178793455	0.0321451246892389	0.0319995123542217	0.030634346049667	0.0319017136625343	0.0285570195862864	0.0278900746884003	0.0295419148595313	0.031918676511707	0.0315744054284962	0.0303734814996024	0.0305135901764858	0.0437497457137465	0.0306206918363857	0.0331155348418738	0.0349920506465323
GCA.015670455.1.ASM1567045v1	0.0239181187154171	0.024060734207108	0.0246873183680557	0.0222031328063925	0.0206022150836783	0.0220557604343993	0.0216474304673088	0.0223237452426272	0.0225917823954887	0.0226108988773819	0.0223240507874949	0.0205731224881597	0.0194176013564748	0.0208341494696816	0.0214655408835109	0.0183209304990889	0.0144772304427792	0	0.0157973863645727	0.0142373232318124	0.0155002956252082	0.0159389002062349	0.0160386565899874	0.013305282037315	0.0131517011494849	0.0174028493765868	0.0266214121344521	0.0319597905955626	0.0315703805551274	0.0321855909453846	0.0338064679689611	0.0356452860388027	0.0355349843317847	0.0357268045429663	0.0358644574943572	0.0339148643042505	0.0337692519692333	0.0324040856646787	0.033671453277546	0.0303267592012981	0.029659814303412	0.031311654474543	0.0336884161267187	0.0333441450435079	0.0321432211146141	0.0322833297914975	0.0455194853287582	0.0323904314513974	0.0348852744568855	0.036761790261544
GCA.012151035.1.ASM1215103v1	0.0285123796114528	0.0286549951031436	0.0292815792640913	0.0267973937024282	0.0251964759797139	0.026650021330435	0.0262416913633444	0.0269180061386629	0.0271860432915244	0.0272051597734175	0.0269183116835305	0.0251673833841953	0.0240118622525104	0.0254284103657172	0.0260598017795466	0.0229151913951245	0.0190714913388149	0.0157973863645727	0	0.00868200582173737	0.0162424565683158	0.0166810611493425	0.016780817533095	0.0178995429333507	0.0177459620455206	0.0219971102726224	0.0312156730304878	0.0365540514915983	0.036164641451163	0.0367798518414202	0.0384007288649968	0.0402395469348383	0.0401292452278203	0.0403210654390019	0.0404587183903928	0.0385091252002862	0.038363512865269	0.0369983465607143	0.0382657141735816	0.0349210200973338	0.0342540751994477	0.0359059153705786	0.0382826770227544	0.0379384059395435	0.0367374820106498	0.0368775906875331	0.0501137462247938	0.036984692347433	0.0394795353529212	0.0413560511575796
GCA.015548265.1.ASM1554826v1	0.0269523164786925	0.0270949319703833	0.027721516131331	0.0252373305696679	0.0236364128469536	0.0250899581976747	0.0246816282305841	0.0253579430059026	0.0256259801587641	0.0256450966406572	0.0253582485507702	0.023607320251435	0.0224517991197501	0.0238683472329569	0.0244997386467863	0.0213551282623642	0.0175114282060546	0.0142373232318124	0.00868200582173737	0	0.0146823934355555	0.0151209980165822	0.0152207544003347	0.0163394798005904	0.0161858989127603	0.0204370471398621	0.0296556098977275	0.034993988358838	0.0346045783184028	0.0352197887086599	0.0368406657322365	0.038679483802078	0.03856918209506	0.0387610023062416	0.0388986552576325	0.0369490620675259	0.0368034497325087	0.035438283427954	0.0367056510408213	0.0333609569645735	0.0326940120666874	0.0343458522378183	0.0367226138899941	0.0363783428067832	0.0351774188778895	0.0353175275547728	0.0485536830920335	0.0354246292146727	0.0379194722201609	0.0397959880248193
GCA.015554205.1.ASM1555420v1	0.0282152888720882	0.0283579043637791	0.0289844885247268	0.0265003029630637	0.0248993852403494	0.0263529305910705	0.0259446006239799	0.0266209153992984	0.0268889525521598	0.026908069034053	0.026621220944166	0.0248702926448308	0.0237147715131459	0.0251313196263527	0.0257627110401821	0.02261810065576	0.0187744005994504	0.0155002956252082	0.0162424565683158	0.0146823934355555	0	0.00584620647477828	0.00594596285853079	0.0176024521939862	0.0174488713061561	0.0217000195332579	0.0309185822911233	0.0362569607522338	0.0358675507117985	0.0364827611020557	0.0381036381256323	0.0399424561954738	0.0398321544884558	0.0400239746996374	0.0401616276510283	0.0382120344609217	0.0380664221259045	0.0367012558213498	0.0379686234342171	0.0346239293579693	0.0339569844600831	0.0356088246312141	0.0379855862833898	0.037641315200179	0.0364403912712853	0.0365804999481686	0.0498166554854293	0.0366876016080685	0.0391824446135566	0.0410589604182151
GCA.004349635.1.ASM434963v1	0.0286538934531149	0.0287965089448058	0.0294230931057535	0.0269389075440903	0.0253379898213761	0.0267915351720972	0.0263832052050066	0.0270595199803251	0.0273275571331865	0.0273466736150797	0.0270598255251927	0.0253088972258575	0.0241533760941726	0.0255699242073794	0.0262013156212087	0.0230567052367867	0.019213005180477	0.0159389002062349	0.0166810611493425	0.0151209980165822	0.00584620647477828	0	0.00449630196318157	0.0180410567750128	0.0178874758871828	0.0221386241142846	0.0313571868721499	0.0366955653332604	0.0363061552928252	0.0369213656830824	0.0385422427066589	0.0403810607765005	0.0402707590694825	0.0404625792806641	0.040600232232055	0.0386506390419483	0.0385050267069312	0.0371398604023765	0.0384072280152438	0.035062533938996	0.0343955890411098	0.0360474292122408	0.0384241908644165	0.0380799197812057	0.0368789958523119	0.0370191045291953	0.050255260066456	0.0371262061890952	0.0396210491945833	0.0414975649992418
GCA.015556535.1.ASM1555653v1	0.0287536498368674	0.0288962653285583	0.029522849489506	0.0270386639278428	0.0254377462051286	0.0268912915558497	0.0264829615887591	0.0271592763640776	0.027427313516939	0.0274464299988322	0.0271595819089452	0.02540865360961	0.0242531324779251	0.0256696805911319	0.0263010720049613	0.0231564616205392	0.0193127615642296	0.0160386565899874	0.016780817533095	0.0152207544003347	0.00594596285853079	0.00449630196318157	0	0.0181408131587653	0.0179872322709353	0.0222383804980371	0.0314569432559024	0.0367953217170129	0.0364059116765777	0.0370211220668349	0.0386419990904114	0.040480817160253	0.040370515453235	0.0405623356644166	0.0406999886158075	0.0387503954257009	0.0386047830906837	0.037239616786129	0.0385069843989963	0.0351622903227485	0.0344953454248623	0.0361471855959933	0.038523947248169	0.0381796761649582	0.0369787522360644	0.0371188609129478	0.0503550164502085	0.0372259625728477	0.0397208055783358	0.0415973213829943
GCA.015560505.1.ASM1556050v1	0.023619444150796	0.0237620596424869	0.0243886438034346	0.0219044582417714	0.0203035405190571	0.0217570858697782	0.0213487559026877	0.0220250706780061	0.0222931078308676	0.0223122243127608	0.0220253762228738	0.0202744479235385	0.0191189267918537	0.0205354749050604	0.0211668663188898	0.0180222559344678	0.0141785558781581	0.013305282037315	0.0178995429333507	0.0163394798005904	0.0176024521939862	0.0180410567750128	0.0181408131587653	0	0.0110134127992953	0.0171041748119657	0.026322737569831	0.0316611160309415	0.0312717059905063	0.0318869163807634	0.03350779340434	0.0353466114741815	0.0352363097671635	0.0354281299783452	0.0355657829297361	0.0336161897396294	0.0334705774046122	0.0321054111000576	0.0333727787129249	0.030028084636677	0.0293611397387909	0.0310129799099219	0.0333897415620976	0.0330454704788868	0.031844546549993	0.0319846552268764	0.0452208107641371	0.0320917568867763	0.0345865998922644	0.0364631156969229
GCA.001405895.1.14207.7.22	0.0234658632629659	0.0236084787546568	0.0242350629156045	0.0217508773539413	0.0201499596312271	0.0216035049819482	0.0211951750148576	0.0218714897901761	0.0221395269430375	0.0221586434249307	0.0218717953350437	0.0201208670357085	0.0189653459040236	0.0203818940172304	0.0210132854310598	0.0178686750466377	0.0140249749903281	0.0131517011494849	0.0177459620455206	0.0161858989127603	0.0174488713061561	0.0178874758871828	0.0179872322709353	0.0110134127992953	0	0.0169505939241356	0.0261691566820009	0.0315075351431114	0.0311181251026762	0.0317333354929334	0.03335421251651	0.0351930305863515	0.0350827288793335	0.0352745490905151	0.035412202041906	0.0334626088517994	0.0333169965167822	0.0319518302122275	0.0332191978250948	0.029874503748847	0.0292075588509608	0.0308593990220918	0.0332361606742675	0.0328918895910567	0.031690965662163	0.0318310743390463	0.045067229876307	0.0319381759989462	0.0344330190044343	0.0363095348090928
